,Name,Code,Logic,Price,Stock,curr_price,earn_rate
1,삼성바이오로직스,207940.KS,delta,1006000.0,0.099403578528827,1117000,0.11033797216699792
4,기아,000270.KS,alpha,100700.0,0.99304865938431,112100,0.1132075471698113
5,KB금융,105560.KS,delta,114950.0,0.8699434536755111,114000,-0.008264462809917328
12,하나금융지주,086790.KS,delta,88700.0,1.1273957158962795,86100,-0.02931228861330326
14,알테오젠,196170.KQ,alpha,461500.0,0.2166847237269772,433000,-0.061755146262188476
15,HMM,011200.KS,delta,20000.0,6.1048,20800,0.040000000000000036
19,우리금융지주,316140.KS,delta,25150.0,4.854712,25350,0.007952286282306265
21,고려아연,010130.KS,gamma,926000.0,0.1079913606911447,1223000,0.32073434125269973
22,KT&G,033780.KS,delta,138900.0,0.7199424046076314,139400,0.003599712023038215
23,크래프톤,259960.KS,alpha,300500.0,0.3327787021630615,285000,-0.0515806988352745
