N,종목명,Code
1,삼성전자,005930.KS
2,SK하이닉스,000660.KS
3,LG에너지솔루션,373220.KS
4,삼성바이오로직스,207940.KS
5,삼성전자우,005935.KS
6,두산에너빌리티,034020.KS
7,한화에어로스페이스,012450.KS
8,현대차,005380.KS
9,HD현대중공업,329180.KS
10,KB금융,105560.KS
11,NAVER,035420.KS
12,기아,000270.KS
13,셀트리온,068270.KS
14,신한지주,055550.KS
15,삼성생명,032830.KS
16,삼성물산,028260.KS
17,한화오션,042660.KS
18,SK스퀘어,402340.KS
19,HD한국조선해양,009540.KS
20,현대모비스,012330.KS
21,고려아연,010130.KS
22,카카오,035720.KS
23,한국전력,015760.KS
24,하나금융지주,086790.KS
25,HD현대일렉트릭,267260.KS
26,POSCO홀딩스,005490.KS
27,현대로템,064350.KS
28,HMM,011200.KS
29,LG화학,051910.KS
30,삼성화재,000810.KS
31,메리츠금융지주,138040.KS
32,삼성중공업,010140.KS
33,우리금융지주,316140.KS
34,SK이노베이션,096770.KS
35,삼성SDI,006400.KS
36,KT&G,033780.KS
37,SK,034730.KS
38,기업은행,024110.KS
39,삼성전기,009150.KS
40,포스코퓨처엠,003670.KS
41,크래프톤,259960.KS
42,효성중공업,298040.KS
43,LG전자,066570.KS
44,삼성에스디에스,018260.KS
45,KT,030200.KS
46,한미반도체,042700.KS
47,HD현대,267250.KS
48,현대글로비스,086280.KS
49,미래에셋증권,006800.KS
50,SK텔레콤,017670.KS
