,Name,Code,Logic,Price,Stock
0,삼성전자,005930.KS,dca,0.0,0.0
2,HD현대중공업,329180.KS,delta,0.0,0.0
3,한화에어로스페이스,012450.KS,delta,0.0,0.0
4,기아,000270.KS,alpha,100700.0,0.99304865938431
5,KB금융,105560.KS,delta,114950.0,0.8699434536755111
6,한화오션,042660.KS,alpha,0.0,0.0
7,NAVER,035420.KS,gamma,0.0,0.0
8,신한지주,055550.KS,gamma,0.0,0.0
9,HD한국조선해양,009540.KS,delta,0.0,0.0
10,삼성물산,028260.KS,epsilon,208500.0,0.5635251798561
11,삼성생명,032830.KS,gamma,0.0,0.0
12,하나금융지주,086790.KS,delta,88700.0,1.1273957158962795
13,한국전력,015760.KS,alpha,0.0,0.0
14,알테오젠,196170.KQ,alpha,461500.0,0.2166847237269772
15,HMM,011200.KS,delta,20000.0,6.1048
16,현대로템,064350.KS,delta,0.0,0.0
17,삼성화재,000810.KS,alpha,0.0,0.0
18,삼성중공업,010140.KS,delta,0.0,0.0
19,우리금융지주,316140.KS,delta,25150.0,4.854712
20,HD현대일렉트릭,267260.KS,delta,0.0,0.0
21,고려아연,010130.KS,gamma,926000.0,0.1079913606911447
22,KT&G,033780.KS,delta,138900.0,0.7199424046076314
23,크래프톤,259960.KS,alpha,300500.0,0.3327787021630615
24,기업은행,024110.KS,epsilon,0.0,0.0
25,현대글로비스,086280.KS,gamma,0.0,0.0
26,삼성전기,009150.KS,kapa,0.0,0.0
27,카카오뱅크,323410.KS,zeta,0.0,0.0
28,삼양식품,003230.KS,dca,0.0,0.0
29,SK텔레콤,017670.KS,eta,0.0,0.0
30,효성중공업,298040.KS,dca,0.0,0.0
31,미래에셋증권,006800.KS,delta,0.0,0.0
32,HD현대,267250.KS,delta,0.0,0.0
33,LIG넥스원,079550.KS,gamma,0.0,0.0
34,한화시스템,272210.KS,gamma,0.0,0.0
35,HD현대마린솔루션,443060.KS,alpha,0.0,0.0
36,DB손해보험,005830.KS,alpha,0.0,0.0
37,대한항공,003490.KS,iota,0.0,0.0
38,LS ELECTRIC,010120.KS,epsilon,0.0,0.0
39,에이피알,278470.KS,alpha,0.0,0.0
40,한미반도체,042700.KS,epsilon,0.0,0.0
41,HD현대미포,010620.KS,delta,0.0,0.0
42,SK바이오팜,326030.KS,gamma,0.0,0.0
43,코웨이,021240.KS,alpha,0.0,0.0
44,한국금융지주,071050.KS,epsilon,0.0,0.0
45,한진칼,180640.KS,gamma,0.0,0.0
46,파마리서치,214450.KQ,delta,0.0,0.0
47,한화,000880.KS,delta,0.0,0.0
48,삼성증권,016360.KS,iota,0.0,0.0
49,삼성카드,029780.KS,epsilon,0.0,0.0
50,LS,006260.KS,zeta,0.0,0.0
51,리가켐바이오,141080.KQ,epsilon,0.0,0.0
52,키움증권,039490.KS,epsilon,0.0,0.0
53,레인보우로보틱스,277810.KQ,eta,0.0,0.0
54,한국타이어앤테크놀로지,161390.KS,epsilon,0.0,0.0
55,이수페타시스,007660.KS,alpha,0.0,0.0
56,현대오토에버,307950.KS,theta,0.0,0.0
57,CJ,001040.KS,alpha,0.0,0.0
58,휴젤,145020.KQ,alpha,0.0,0.0
59,리노공업,058470.KQ,delta,0.0,0.0
60,클래시스,214150.KQ,epsilon,0.0,0.0
61,실리콘투,257720.KQ,alpha,0.0,0.0
62,이오테크닉스,039030.KQ,iota,0.0,0.0
63,원익IPS,240810.KQ,delta,0.0,0.0
64,비에이치아이,083650.KQ,gamma,0.0,0.0
65,파크시스템스,140860.KQ,kapa,0.0,0.0
66,동진쎄미켐,005290.KQ,dca,0.0,0.0
67,오스코텍,039200.KQ,gamma,0.0,0.0
68,HK이노엔,195940.KQ,zeta,0.0,0.0
69,네이처셀,007390.KQ,epsilon,0.0,0.0
70,브이티,018290.KQ,gamma,0.0,0.0
71,주성엔지니어링,036930.KQ,kapa,0.0,0.0
72,티씨케이,064760.KQ,dca,0.0,0.0
73,ISC,095340.KQ,eta,0.0,0.0
74,덕산네오룩스,213420.KQ,theta,0.0,0.0
75,에스앤에스텍,101490.KQ,dca,0.0,0.0
76,유진테크,084370.KQ,dca,0.0,0.0
77,서진시스템,178320.KQ,alpha,0.0,0.0
78,대주전자재료,078600.KQ,iota,0.0,0.0
79,현대힘스,460930.KQ,kapa,0.0,0.0
80,동성화인텍,033500.KQ,alpha,0.0,0.0
81,위메이드,112040.KQ,eta,0.0,0.0
82,카페24,042000.KQ,kapa,0.0,0.0
83,하림지주,003380.KQ,eta,0.0,0.0
84,넥슨게임즈,225570.KQ,theta,0.0,0.0
85,우리기술투자,041190.KQ,gamma,0.0,0.0
86,피엔티,137400.KQ,eta,0.0,0.0
87,코미코,183300.KQ,dca,0.0,0.0
88,태성,323280.KQ,alpha,0.0,0.0
89,펌텍코리아,251970.KQ,delta,0.0,0.0
90,피에스케이홀딩스,031980.KQ,iota,0.0,0.0
91,비올,335890.KQ,delta,0.0,0.0
92,필옵틱스,161580.KQ,delta,0.0,0.0
93,피에스케이,319660.KQ,dca,0.0,0.0
94,RFHIC,218410.KQ,kapa,0.0,0.0
95,SK하이닉스,000660.KS,delta,0.0,0.0
96,SK스퀘어,402340.KS,alpha,0.0,0.0
1,삼성바이오로직스,207940.KS,delta,0.0,0.0
