N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
1,알테오젠,439500,보합0,0,500,234979,53465,14.48,0,188.06,29.52,
5,파마리서치,668000,보합0,0,500,69403,10390,19.09,0,66.39,18.93,
11,휴젤,307500,보합0,0,500,37835,12304,55.7,0,26.7,17.51,
12,클래시스,55300,보합0,0,100,36225,65506,70.27,0,35.25,26.54,
13,리노공업,46300,보합0,0,100,35286,76212,34.33,0,31.16,19.21,
16,JYP Ent.,79500,보합0,0,500,28248,35532,20.67,0,20.86,22.41,
17,실리콘투,45350,보합0,0,500,27741,61172,7.93,0,20.64,60.9,
30,파크시스템스,248000,보합0,0,500,17341,6992,33.35,0,31.47,25.83,
32,동진쎄미켐,31150,보합0,0,500,16016,51414,10.15,0,10.43,17.17,
38,비에이치아이,43600,보합0,0,500,13492,30944,17.88,0,60.56,20.64,
39,브이티,37500,보합0,0,500,13424,35798,8.02,0,12.27,56.07,
40,티씨케이,114200,보합0,0,500,13333,11675,64.41,0,17.56,14.78,
42,주성엔지니어링,27600,보합0,0,500,13046,47268,17.4,0,11.08,19.76,
43,ISC,61100,보합0,0,500,12951,21197,17.83,0,28.34,10.98,
48,대주전자재료,73200,보합0,0,500,11332,15481,17.55,0,29.85,19.3,
49,유진테크,49400,보합0,0,500,11321,22916,31.97,0,17.45,16.85,
51,에스앤에스텍,51600,보합0,0,500,11069,21451,10.61,0,31.87,13.07,
55,서진시스템,19120,보합0,0,500,10755,56248,7.57,0,21.73,12.32,
58,덕산네오룩스,41500,보합0,0,200,10305,24831,8.44,0,22.73,12.17,
59,위메이드,29750,보합0,0,500,10100,33948,7.12,0,4.56,55.57,
63,넥슨게임즈,14510,보합0,0,500,9556,65860,4.45,0,30.48,10.93,
64,카페24,38800,보합0,0,500,9410,24253,20.59,0,31.7,13.4,
67,태성,30400,보합0,0,100,9272,30501,2.01,0,353.49,16.61,
68,SOOP,79200,보합0,0,500,9104,11495,32.47,0,8.81,30.21,
69,원텍,10100,보합0,0,100,9087,89969,9.24,0,22.65,25.76,
71,피엔티,37250,보합0,0,500,8844,23743,4.28,0,9.14,26.52,
73,동성화인텍,29150,보합0,0,500,8742,29989,20.65,0,22.03,21.07,
76,우리기술투자,10050,보합0,0,500,8442,84000,4.66,0,5.49,24.89,
77,레이크머티리얼즈,12680,보합0,0,100,8335,65731,7.14,0,45.12,17.38,
81,펌텍코리아,66100,보합0,0,500,8196,12400,15.63,0,23.01,12.99,
84,코미코,75300,보합0,0,500,7877,10461,18.25,0,13.73,23.36,
88,엘앤씨바이오,30900,보합0,0,500,7607,24619,7.41,0,5.04,65.41,
89,코나아이,51300,보합0,0,500,7471,14563,1.61,0,25.28,16.19,
91,비올,12510,보합0,0,100,7308,58419,0.53,0,20.78,44.73,
93,비츠로셀,30400,보합0,0,500,6953,22872,31.12,0,13.94,19.92,
94,피에스케이홀딩스,32100,보합0,0,500,6922,21562,3.91,0,7.48,24.8,
