N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE	토론
1	삼성전자	70600	상승100	0.0014	100	4179264	5919638	50.52	18354728	15.77	9.03	
2	SK하이닉스	245000	"하락10,500"	-0.0411	5000	1783606	728002	55.3	5926632	6.87	31.06	
4	삼성바이오로직스	1017000	"하락2,000"	-0.002	2500	723840	71174	12.82	29573	56.29	10.45	
6	현대차	221500	"상승1,000"	0.0045	5000	453538	204758	36.28	600264	4.81	12.43	
7	한화에어로스페이스	834000	"상승18,000"	0.0221	5000	430039	51563	43.65	128018	16.18	53.94	
8	HD현대중공업	472000	"상승21,500"	0.0477	5000	419009	88773	10.95	172308	44.87	11.39	
10	기아	103900	"하락1,200"	-0.0114	5000	413182	397673	39.77	433907	4.43	19.09	
14	한화오션	111400	"상승6,200"	0.0589	5000	341345	306413	14.61	2299240	39.29	11.52	
19	현대모비스	297500	"하락4,000"	-0.0133	5000	273090	91795	43.7	82366	6.64	9.35	
20	HD한국조선해양	355500	"상승6,000"	0.0172	5000	251598	70773	32.72	153738	16.31	11.16	
21	한국전력	38400	상승900	0.024	5000	246514	641964	20.43	4672324	4.69	9.22	
23	하나금융지주	82900	상승200	0.0024	5000	236036	284724	67	725815	6.26	9.11	
24	메리츠금융지주	128900	"상승9,900"	0.0832	500	232039	180014	15.57	1182718	10.55	23.44	
25	HMM	22600	하락400	-0.0174	5000	231659	1025039	6.89	1272768	5.11	15.35	
27	삼성화재	442000	"상승2,500"	0.0057	500	203369	46011	55.73	90160	11.28	13.11	
28	현대로템	173800	"상승3,100"	0.0182	5000	189689	109142	31.33	522000	31.7	21.85	
29	우리금융지주	24800	보합0	0	5000	184163	742592	47.01	841387	6.4	9.39	
30	SK스퀘어	135200	"하락1,900"	-0.0139	100	179195	132541	53.51	457243	3.65	21.7	
33	KT&G	137100	상승600	0.0044	5000	167348	122062	42.14	282823	17.86	12.66	
34	HD현대일렉트릭	458500	"상승12,000"	0.0269	5000	165276	36047	35.59	125626	29.43	39.34	
37	크래프톤	327500	"상승1,000"	0.0031	100	155213	47393	42.59	92521	11.83	21.1	
42	현대글로비스	172000	하락500	-0.0029	500	129000	75000	50.14	88510	10.86	13.24	
46	SK텔레콤	55500	하락400	-0.0072	100	119208	214790	38.35	542945	11.76	10.83	
50	LIG넥스원	495500	"상승19,500"	0.041	5000	109010	22000	32.51	150540	35.76	19.59	
51	효성중공업	1135000	"상승20,000"	0.0179	5000	105834	9325	25.19	79612	34.91	14.9	
52	삼양식품	1386000	"상승33,000"	0.0244	5000	104408	7533	19.01	46544	32.77	39.37	
55	한화시스템	51100	"상승1,850"	0.0376	5000	96538	188919	7.15	953732	21.92	19.63	
56	대한항공	24950	하락100	-0.004	5000	91871	368221	16.71	1012067	7.51	13.17	
57	DB손해보험	129400	하락800	-0.0061	500	91615	70800	44.45	170703	5.38	18.98	
62	한국항공우주	89000	"상승1,000"	0.0114	5000	86753	97475	34.17	432914	52.08	10.42	
64	HD현대마린솔루션	188100	"상승1,200"	0.0064	500	84324	44829	29.76	62378	34.52	44.98	
66	한미반도체	86900	하락200	-0.0023	100	82826	95312	6.82	324318	61.11	27.43	
67	에이피알	218500	"상승5,500"	0.0258	100	81786	37431	24.18	309979	62.16	41.34	
68	LS ELECTRIC	263500	"상승4,000"	0.0154	5000	79050	30000	24.34	146912	34.34	13.44	
69	SK바이오팜	97200	상승200	0.0021	500	76120	78313	10.63	107367	29.73	58.01	
71	코웨이	104200	상승100	0.001	500	74929	71909	60.21	73349	13.18	19.38	
72	한진칼	110200	하락400	-0.0036	2500	73572	66762	20.85	44479	16.15	16.75	
73	아모레퍼시픽	122400	"하락1,500"	-0.0121	500	71595	58493	23.04	176134	13.51	11.69	
74	한국금융지주	125300	"하락1,500"	-0.0118	5000	69825	55726	37.83	209819	6.67	11.54	
80	LG씨엔에스	67100	"하락1,400"	-0.0204	500	65010	96886	6.63	384284	15.14	18.32	
83	삼성증권	66900	하락400	-0.0059	5000	59742	89300	28.92	200382	6.68	12.89	
87	삼성E&A	28500	상승150	0.0053	5000	55860	196000	45.66	545041	9.78	19.65	
92	키움증권	195800	하락100	-0.0005	5000	51252	26176	27.98	60355	6.08	15.98	
95	한국타이어앤테크놀로지	40250	상승700	0.0177	500	49860	123875	34.65	503335	5.29	10.79	
