N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
1,알테오젠,439500,보합0,0,500,234979,53465,14.48,0,188.06,29.52,
2,에코프로비엠,131300,보합0,0,500,128413,97801,12.61,0,-138.36,-6.26,
3,에코프로,56100,보합0,0,100,76170,135776,20.5,0,-43.42,-12.57,
4,펩트론,323500,보합0,0,500,75367,23297,8.23,0,-327.76,-23.46,
5,파마리서치,668000,보합0,0,500,69403,10390,19.09,0,66.39,18.93,
6,리가켐바이오,151000,보합0,0,500,55282,36610,11.68,0,222.06,2.04,
7,HLB,39600,보합0,0,500,52049,131438,20.42,0,-27.56,-16.33,
8,레인보우로보틱스,266000,보합0,0,500,51604,19400,4.82,0,6487.8,1.62,
9,에이비엘바이오,89700,보합0,0,500,48954,54575,11.7,0,-235.43,-46.01,
10,삼천당제약,181000,보합0,0,500,42458,23457,2.82,0,-366.4,-4.49,
11,휴젤,307500,보합0,0,500,37835,12304,55.7,0,26.7,17.51,
12,클래시스,55300,보합0,0,100,36225,65506,70.27,0,35.25,26.54,
13,리노공업,46300,보합0,0,100,35286,76212,34.33,0,31.16,19.21,
14,에스엠,147400,보합0,0,500,33747,22895,26.78,0,13.55,2.64,
15,코오롱티슈진,37900,보합0,0,0,31458,83004,4.09,0,-83.48,-25.91,
16,JYP Ent.,79500,보합0,0,500,28248,35532,20.67,0,20.86,22.41,
17,실리콘투,45350,보합0,0,500,27741,61172,7.93,0,20.64,60.90,
18,이오테크닉스,223000,보합0,0,500,27473,12320,21.64,0,58.92,7.43,
19,케어젠,46700,보합0,0,100,25085,53715,4.3,0,80.38,14.35,
20,셀트리온제약,53700,보합0,0,500,23455,43679,3.66,0,85.65,5.68,
21,HPSP,26750,보합0,0,500,22336,83499,22.66,0,27.75,31.09,
22,보로노이,119300,보합0,0,500,21941,18391,3.42,0,-53.93,-96.66,
23,젬백스,50600,보합0,0,500,21396,42284,6.85,0,-32.88,-127.30,
24,원익IPS,40200,보합0,0,500,19732,49084,27.65,0,51.28,2.37,
25,펄어비스,29500,보합0,0,100,18953,64248,6.69,0,39.44,7.88,
26,에스티팜,91600,보합0,0,500,18460,20153,5.59,0,61.52,7.82,
27,와이지엔터테인먼트,97800,보합0,0,500,18280,18691,18.01,0,78.3,3.90,
28,엔켐,82500,보합0,0,500,17923,21725,5.53,0,-8.04,-156.31,
29,솔브레인,229000,보합0,0,500,17813,7779,29.51,0,17.2,12.47,
30,파크시스템스,248000,보합0,0,500,17341,6992,33.35,0,31.47,25.83,
31,신성델타테크,62400,보합0,0,500,17150,27484,5.26,0,-1356.52,-0.48,
32,동진쎄미켐,31150,보합0,0,500,16016,51414,10.15,0,10.43,17.17,
33,CJ ENM,71800,보합0,0,5000,15745,21929,18.04,0,-2.86,-16.69,
34,디앤디파마텍,139800,보합0,0,500,15127,10821,1.18,0,-44.31,-49.03,
35,씨젠,28100,보합0,0,500,14676,52226,17.02,0,137.75,-2.03,
36,카카오게임즈,16490,보합0,0,100,13665,82866,10.26,0,-10.27,-7.96,
37,스튜디오드래곤,45300,보합0,0,500,13616,30058,11.82,0,86.95,4.63,
38,비에이치아이,43600,보합0,0,500,13492,30944,17.88,0,60.56,20.64,
39,브이티,37500,보합0,0,500,13424,35798,8.02,0,12.27,56.07,
40,티씨케이,114200,보합0,0,500,13333,11675,64.41,0,17.56,14.78,
41,네이처셀,20250,보합0,0,500,13048,64435,8.14,0,-6750,1.95,
42,주성엔지니어링,27600,보합0,0,500,13046,47268,17.4,0,11.08,19.76,
43,ISC,61100,보합0,0,500,12951,21197,17.83,0,28.34,10.98,
44,오스코텍,33650,보합0,0,500,12873,38255,9.46,0,3365,0.77,
45,HK이노엔,45000,보합0,0,500,12748,28330,9.35,0,18.6,5.02,
46,디어유,51700,보합0,0,500,12273,23738,6.85,0,59.43,N/A,
47,올릭스,57000,보합0,0,500,11440,20070,6.7,0,-22.02,-120.11,
48,대주전자재료,73200,보합0,0,500,11332,15481,17.55,0,29.85,19.30,
49,유진테크,49400,보합0,0,500,11321,22916,31.97,0,17.45,16.85,
50,루닛,38500,보합0,0,500,11244,29205,8.09,0,-16.11,-41.21,
51,에스앤에스텍,51600,보합0,0,500,11069,21451,10.61,0,31.87,13.07,
52,로보티즈,83600,보합0,0,500,11047,13214,4.89,0,1639.22,-3.31,
53,메지온,36500,보합0,0,500,10992,30115,21.75,0,-47.77,-36.23,
54,지아이이노베이션,17450,보합0,0,500,10785,61803,6.94,0,-16.17,-116.69,
55,서진시스템,19120,보합0,0,500,10755,56248,7.57,0,21.73,12.32,
56,테크윙,28250,보합0,0,500,10552,37354,10.18,0,-75.53,-10.25,
57,제이앤티씨,18180,보합0,0,500,10517,57848,2.61,0,-12.56,-9.65,
58,덕산네오룩스,41500,보합0,0,200,10305,24831,8.44,0,22.73,12.17,
59,위메이드,29750,보합0,0,500,10100,33948,7.12,0,4.56,55.57,
60,고영,14550,보합0,0,100,9989,68655,16.93,0,58.91,6.68,
61,아난티,10490,보합0,0,100,9679,92272,5.32,0,-56.1,-4.56,
62,하림지주,8620,보합0,0,100,9655,112006,11.34,0,10.08,0.90,
63,넥슨게임즈,14510,보합0,0,500,9556,65860,4.45,0,30.48,10.93,
64,카페24,38800,보합0,0,500,9410,24253,20.59,0,31.7,13.40,
65,솔브레인홀딩스,44800,보합0,0,500,9392,20964,3.25,0,19.85,4.62,
66,하이젠알앤엠,30150,보합0,0,500,9313,30888,1.17,0,-237.4,-1.92,
67,태성,30400,보합0,0,100,9272,30501,2.01,0,353.49,16.61,
68,SOOP,79200,보합0,0,500,9104,11495,32.47,0,8.81,30.21,
69,원텍,10100,보합0,0,100,9087,89969,9.24,0,22.65,25.76,
70,와이씨,11030,보합0,0,100,9050,82045,0.85,0,106.06,3.48,
71,피엔티,37250,보합0,0,500,8844,23743,4.28,0,9.14,26.52,
72,메디톡스,120300,보합0,0,500,8780,7298,12.16,0,41.89,3.62,
73,동성화인텍,29150,보합0,0,500,8742,29989,20.65,0,22.03,21.07,
74,LS마린솔루션,26450,보합0,0,1000,8641,32669,3.21,0,60.39,N/A,
75,차바이오텍,11060,보합0,0,500,8453,76426,9.11,0,-49.38,-2.85,
76,우리기술투자,10050,보합0,0,500,8442,84000,4.66,0,5.49,24.89,
77,레이크머티리얼즈,12680,보합0,0,100,8335,65731,7.14,0,45.12,17.38,
78,성광벤드,31200,보합0,0,500,8286,26557,25.77,0,22.76,8.01,
79,현대힘스,23250,보합0,0,500,8249,35480,0.64,0,46.13,8.07,
80,에스에프에이,22900,보합0,0,500,8223,35909,9.61,0,-9.97,-7.49,
81,펌텍코리아,66100,보합0,0,500,8196,12400,15.63,0,23.01,12.99,
82,태웅,40950,보합0,0,500,8193,20007,6.17,0,42,4.42,
83,하나마이크론,12190,보합0,0,500,8079,66272,11.35,0,-85.85,-6.99,
84,코미코,75300,보합0,0,500,7877,10461,18.25,0,13.73,23.36,
85,동국제약,17380,보합0,0,500,7801,44884,12.62,0,13.56,10.66,
86,심텍,24350,보합0,0,500,7799,32029,8.34,0,-15.3,-6.63,
87,유일로보틱스,67200,보합0,0,500,7717,11483,14.81,0,146.41,-13.94,
88,엘앤씨바이오,30900,보합0,0,500,7607,24619,7.41,0,5.04,65.41,
89,코나아이,51300,보합0,0,500,7471,14563,1.61,0,25.28,16.19,
90,필옵틱스,31250,보합0,0,500,7312,23399,0.52,0,141.4,3.51,
91,비올,12510,보합0,0,100,7308,58419,0.53,0,20.78,44.73,
92,RFHIC,27550,보합0,0,500,7302,26503,15.5,0,96.67,8.60,
93,비츠로셀,30400,보합0,0,500,6953,22872,31.12,0,13.94,19.92,
94,피에스케이홀딩스,32100,보합0,0,500,6922,21562,3.91,0,7.48,24.80,
95,LS머트리얼즈,10190,보합0,0,500,6894,67653,7.29,0,221.52,3.11,
96,나노신소재,56500,보합0,0,500,6892,12198,8.83,0,-308.74,-0.77,
97,안랩,61800,보합0,0,500,6876,11127,32.22,0,18.47,10.40,
98,삼양컴텍,16640,보합0,0,500,6857,41210,5.97,0,32.31,38.14,
99,큐리옥스바이오시스템즈,41200,보합0,0,500,6852,16631,16.95,0,-73.31,-15.94,
100,두산테스나,35000,보합0,0,500,6765,19327,1.61,0,50,N/A,
