N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
1,삼성전자,70600,"하락1,000",-0.014,100,4179264,5919638,50.57,9882928,13.68,9.03,
2,SK하이닉스,268000,"하락8,500",-0.0307,5000,1951046,728002,55.48,1397700,7.51,31.06,
3,LG에너지솔루션,385500,"하락8,500",-0.0216,500,902070,234000,4.19,130167,-77.5,-4.93,
4,삼성바이오로직스,1030000,"하락3,000",-0.0029,2500,733092,71174,12.86,31555,57.3,10.45,
5,삼성전자우,57600,하락600,-0.0103,100,470001,815975,74.22,1022464,11.16,N/A,
6,한화에어로스페이스,878000,"하락5,000",-0.0057,5000,452727,51563,43.84,121958,17.76,53.94,
7,현대차,217500,보합0,0,5000,445348,204758,36.17,301173,4.74,12.43,
8,HD현대중공업,476500,하락500,-0.001,5000,423004,88773,11.04,185050,48.23,11.39,
9,두산에너빌리티,65200,하락300,-0.0046,5000,417646,640561,23.7,2886634,-410.06,1.52,
10,KB금융,107300,"하락5,900",-0.0521,5000,409309,381462,77.81,1253976,7.44,8.86,
11,기아,102500,"하락1,200",-0.0116,5000,407614,397673,39.75,371106,4.37,19.09,
12,셀트리온,172700,"하락2,300",-0.0131,1000,398832,230939,21.37,181456,79.92,2.46,
13,NAVER,226250,"상승1,750",0.0078,100,358464,158437,42.28,383986,19.76,7.90,
14,한화오션,109400,"상승2,800",0.0263,5000,335216,306413,14.74,1927668,38.59,11.52,
15,신한지주,67400,"하락1,700",-0.0246,5000,327224,485495,60.08,1173791,7.4,8.11,
16,카카오,65100,상승700,0.0109,100,287823,442125,29.21,1383100,188.15,0.56,
17,삼성물산,161300,"하락2,600",-0.0159,100,274172,169977,27.53,134949,12.88,6.83,
18,현대모비스,291000,"하락5,500",-0.0185,5000,267124,91795,43.62,66143,6.41,9.35,
19,HD한국조선해양,370500,"하락8,000",-0.0211,5000,262214,70773,32.93,160833,17.73,11.16,
20,삼성생명,127700,하락800,-0.0062,500,255400,200000,22,212059,12.05,6.18,
21,한국전력,39500,상승650,0.0167,5000,253576,641964,20.45,4950664,4.82,9.22,
22,POSCO홀딩스,303500,"하락4,000",-0.013,5000,245632,80933,29.98,207237,29.51,2.00,
23,HMM,23750,"상승1,650",0.0747,5000,243447,1025039,6.96,4895119,5.37,15.35,
24,하나금융지주,82600,"하락3,700",-0.0429,5000,235182,284724,67.25,798672,6.23,9.11,
25,메리츠금융지주,119400,"하락1,400",-0.0116,500,214937,180014,15.64,183531,9.77,23.44,
26,삼성화재,440500,하락500,-0.0011,500,202679,46011,55.78,56876,11.25,13.11,
27,현대로템,179600,하락100,-0.0006,5000,196020,109142,31.08,493940,38.51,21.85,
28,LG화학,277000,"하락5,500",-0.0195,5000,195541,70592,31.62,133093,-23.19,-2.11,
29,우리금융지주,24750,하락700,-0.0275,5000,183791,742592,47.08,1041741,6.38,9.39,
30,SK스퀘어,137200,"하락6,500",-0.0452,100,181846,132541,53.47,187017,3.7,21.70,
31,삼성SDI,220500,"하락3,500",-0.0156,5000,177691,80586,26.69,264499,150.92,3.13,
32,삼성중공업,19270,상승380,0.0201,1000,169576,880000,31.29,7746699,116.08,1.77,
33,HD현대일렉트릭,461500,"하락26,000",-0.0533,5000,166358,36047,35.57,230836,29.62,39.34,
34,KT&G,133900,상승200,0.0015,5000,163442,122062,42.46,266605,15.08,12.66,
35,SK이노베이션,105900,"하락3,200",-0.0293,5000,159946,151035,13.56,176757,-5.23,-9.65,
36,고려아연,785000,"하락22,000",-0.0273,5000,157183,20023,12.01,7719,65.97,2.28,
37,기업은행,19250,하락210,-0.0108,5000,153504,797426,13.88,527938,5.74,8.06,
38,크래프톤,314000,"하락1,500",-0.0048,100,148815,47393,42.85,50343,11.34,21.10,
39,포스코퓨처엠,156600,"하락6,600",-0.0404,500,139290,88946,9.76,189722,-56.05,-7.98,
40,KT,54900,하락800,-0.0144,5000,138360,252022,49,101686,21.86,2.85,
41,SK,184100,"하락2,200",-0.0118,200,133477,72503,25.27,114707,14.99,-5.64,
42,현대글로비스,171300,"하락6,000",-0.0338,500,128475,75000,50.06,189384,10.82,13.24,
43,LG전자,77200,보합0,0,5000,125748,162886,29.3,201658,20.18,1.81,
44,카카오뱅크,25950,하락700,-0.0263,5000,123779,476990,16.29,535887,26.53,6.95,
45,SK텔레콤,55700,하락400,-0.0071,100,119638,214790,38.64,493871,9.48,10.83,
46,삼성전기,158600,"하락4,000",-0.0246,5000,118464,74694,35.24,240193,19.54,8.16,
47,하이브,281500,"하락2,000",-0.0071,500,117251,41652,20.69,127556,224.12,0.31,
48,삼성에스디에스,151200,하락200,-0.0013,500,116995,77378,18.74,60949,15.44,8.42,
49,LG,73000,"하락1,700",-0.0228,5000,114793,157251,34.74,148275,14.45,2.16,
50,LIG넥스원,509000,"상승3,000",0.0059,5000,111980,22000,32.11,87767,45.64,19.59,
51,효성중공업,1188000,"하락27,000",-0.0222,5000,110776,9325,24.57,71424,36.54,14.90,
52,미래에셋증권,18230,하락580,-0.0308,5000,103969,570316,13.02,1283202,13.37,7.94,
53,삼양식품,1378000,"하락2,000",-0.0014,5000,103805,7533,19.92,50879,34.08,39.37,
54,HD현대,130500,"하락4,000",-0.0297,1000,103086,78993,24.26,70382,19.63,6.36,
55,한화시스템,53200,"하락1,300",-0.0239,5000,100505,188919,7.01,522647,22.82,19.63,
56,두산,567000,"상승12,000",0.0216,5000,93690,16524,15.88,98613,-58.51,-14.57,
57,DB손해보험,130300,"상승1,400",0.0109,500,92252,70800,44.59,165048,5.42,18.98,
58,대한항공,24900,보합0,0,5000,91687,368221,16.75,780606,7.50,13.17,
59,유한양행,114000,하락400,-0.0035,1000,91164,79968,16.91,253919,138.86,3.41,
60,KODEX CD금리액티브(합성),1074790,상승70,0.0001,0,89619,8338,0,189629,N/A,N/A,
61,TIGER 미국S&P500,22190,상승45,0.002,0,89592,403750,0.02,4091312,N/A,N/A,
62,카카오페이,65600,하락300,-0.0046,500,88608,135074,33.9,387677,"-2,116.13",-0.73,
63,한국항공우주,90900,보합0,0,5000,88605,97475,34.33,286601,53.53,10.42,
64,HD현대마린솔루션,193400,"하락3,400",-0.0173,500,86700,44829,29.78,90288,34.61,44.98,
65,LS ELECTRIC,286000,"하락21,000",-0.0684,5000,85800,30000,24.29,242979,37.27,13.44,
66,포스코인터내셔널,48400,하락800,-0.0163,5000,85147,175923,5.7,184039,15.83,8.14,
67,한미반도체,88900,"하락4,100",-0.0441,100,84733,95312,7.12,534905,62.52,27.43,
68,에이피알,214000,상승500,0.0023,100,81414,38044,24.15,240275,60.88,41.34,
69,HD현대미포,195200,"상승5,200",0.0274,5000,77967,39942,21.9,345090,51.07,5.25,
70,SK바이오팜,99100,"하락1,500",-0.0149,500,77608,78313,10.79,90516,30.89,58.01,
71,한진칼,115500,"하락3,800",-0.0319,2500,77110,66762,20.88,39330,16.93,16.75,
72,코웨이,104900,상승100,0.001,500,75433,71909,60.28,81623,13.37,19.38,
73,한국금융지주,133000,"하락4,500",-0.0327,5000,74116,55726,37.85,157995,7.08,11.54,
74,아모레퍼시픽,121900,하락700,-0.0057,500,71303,58493,23.05,94165,13.46,11.69,
75,현대건설,63700,하락100,-0.0016,5000,70934,111356,25.05,416419,-35.15,-2.09,
76,LG씨엔에스,72200,보합0,0,500,69952,96886,7.03,433918,15.71,18.32,
77,KODEX 머니마켓액티브,103567,상승7,0.0001,0,68981,66605,0,447727,N/A,N/A,
78,S-Oil,60500,하락700,-0.0114,2500,68113,112583,74.51,75157,-17.47,-2.18,
79,KODEX 200,43165,하락555,-0.0127,0,67942,157400,33.37,3715967,N/A,N/A,
80,LG유플러스,15290,상승380,0.0255,5000,66758,436611,38.4,1397064,16.32,4.40,
81,NH투자증권,19180,하락160,-0.0083,5000,62160,324086,15.97,413295,9.93,8.73,
82,한화,81600,"하락2,300",-0.0274,5000,61166,74959,16.59,122634,7.80,7.19,
83,삼성증권,68200,하락600,-0.0087,5000,60903,89300,29.15,157378,6.81,12.89,
84,LG디스플레이,12010,상승130,0.0109,5000,60050,500000,23.39,4339811,-2.94,-37.21,
85,현대차2우B,168600,하락900,-0.0053,5000,58949,34964,59.74,52442,3.67,N/A,
86,삼성카드,50000,하락600,-0.0119,5000,57929,115859,6.05,50351,8.63,8.00,
87,맥쿼리인프라,11660,하락30,-0.0026,0,55842,478922,9.23,873122,N/A,N/A,
88,TIGER 미국나스닥100,145930,하락45,-0.0003,0,55570,38080,0.17,201323,N/A,N/A,
89,삼성E&A,28350,상승200,0.0071,5000,55566,196000,45.74,462841,7.45,19.65,
90,두산밥캣,56300,보합0,0,500,53967,95856,33.96,247426,12.22,8.77,
91,키움증권,204500,"하락6,000",-0.0285,5000,53529,26176,27.68,62940,6.35,15.98,
92,한화솔루션,30550,상승550,0.0183,5000,52513,171893,10.93,2219710,-5.39,-15.99,
